"product_id","quantity_ordered","order_date","order_status","payment_type","buyer_id","address_type"
"P1812000462640",1,2022-09-01 00:51:57.139117,"Delivered","Card","B1312000345416","Work"
"P1812000161795",1,2022-09-01 00:51:57.139117,"Delivered","Card","B1312000345416","Work"
"P1812000050171",1,2022-09-01 00:51:57.139117,"Delivered","Card","B1312000345416","Work"
"P1812000495711",1,2022-09-01 01:25:52.36278,"Cancelled","Cash","B1312000336390","Home"
"P1812000037589",1,2022-09-01 02:14:43.89027,"Delivered","Cash","B1312000377473","Home"
"P1812000353889",1,2022-09-01 02:14:43.89027,"Delivered","Cash","B1312000377473","Home"
"P1812000278337",1,2022-09-01 02:49:13.553114,"Delivered","Cash","B1312000699226","Work"
"P1812000115335",1,2022-09-01 02:49:13.553114,"Delivered","Cash","B1312000699226","Work"
"P1812000353889",1,2022-09-01 02:49:13.553114,"Delivered","Cash","B1312000699226","Work"
"P1812000033472",1,2022-09-01 03:17:18.690906,"Delivered","Cash","B1312000182276","Work"
"P1812000382707",1,2022-09-01 03:17:18.690906,"Delivered","Cash","B1312000182276","Work"
"P1812000311357",1,2022-09-01 03:17:18.690906,"Delivered","Cash","B1312000182276","Work"
"P1812000338442",1,2022-09-01 04:28:01.680545,"Delivered","Cash","B1312000483745","Home"
"P1812000495711",1,2022-09-01 04:28:01.680545,"Delivered","Cash","B1312000483745","Home"
"P1812000153138",1,2022-09-01 05:11:26.144612,"Cancelled","Card","B1312000330979","Home"
"P1812000368965",1,2022-09-01 05:11:26.144612,"Cancelled","Card","B1312000330979","Home"
"P1812000473822",1,2022-09-01 05:11:26.144612,"Cancelled","Card","B1312000330979","Home"
"P1812000220930",1,2022-09-01 07:53:18.995268,"Cancelled","Cash","B1312000786664","Home"
"P1812000017808",1,2022-09-01 07:53:18.995268,"Cancelled","Cash","B1312000786664","Home"
"P1812000365132",1,2022-09-01 07:55:21.191729,"Delivered","Cash","B1312000436414","Home"
"P1812000118825",1,2022-09-01 08:10:51.300404,"Cancelled","Cash","B1312000314240","Work"
"P1812000132718",1,2022-09-01 08:10:51.300404,"Cancelled","Cash","B1312000314240","Work"
"P1812000357959",1,2022-09-01 08:10:51.300404,"Cancelled","Cash","B1312000314240","Work"
"P1812000432483",1,2022-09-01 08:59:20.744631,"Cancelled","Cash","B1312000666985","Work"
"P1812000037589",1,2022-09-01 08:59:20.744631,"Cancelled","Cash","B1312000666985","Work"
"P1812000014701",1,2022-09-01 08:59:20.744631,"Cancelled","Cash","B1312000666985","Work"
"P1812000162978",1,2022-09-01 08:59:20.744631,"Cancelled","Cash","B1312000666985","Work"
"P1812000338442",1,2022-09-01 09:12:53.777014,"Delivered","Card","B1312000558855","Work"
"P1812000379214",1,2022-09-01 09:12:53.777014,"Delivered","Card","B1312000558855","Work"
"P1812000208139",1,2022-09-01 09:12:53.777014,"Delivered","Card","B1312000558855","Work"
"P1812000385781",1,2022-09-01 09:12:53.777014,"Delivered","Card","B1312000558855","Work"
"P1812000136713",1,2022-09-01 09:40:53.928714,"Delivered","Card","B1312000697237","Work"
"P1812000436414",1,2022-09-01 10:57:29.062309,"Delivered","Card","B1312000536418","Home"
"P1812000481678",1,2022-09-01 10:57:29.062309,"Delivered","Card","B1312000536418","Home"
"P1812000165868",1,2022-09-01 10:57:29.062309,"Delivered","Card","B1312000536418","Home"
"P1812000329607",1,2022-09-01 10:57:29.062309,"Delivered","Card","B1312000536418","Home"
