"product_id","product_name","in_stock","available_units","price","seller_id","category_id"
"P1812000215285","Innovative Blender","yes",342,37.99,"S1212000006917","C1912000001514"
"P1812000350684","Portable Hand Mixer","yes",461,25.99,"S1212000106989","C1912000001514"
"P1812000334647","High-Quality Vacuum Cleaner","yes",410,25.99,"S1212000029689","C1912000001514"
"P1812000255317","Versatile Washing Machine","yes",61,35.99,"S1212000092523","C1912000001514"
"P1812000070846","Sleek Refrigerator","no",0,28.99,"S1212000092523","C1912000001514"
"P1812000094385","Compact Air Purifier","yes",487,37.99,"S1212000113277","C1912000001514"
"P1812000422276","High-Quality Vacuum Cleaner","yes",119,22.99,"S1212000106989","C1912000001514"
"P1812000022939","Powerful Washing Machine","yes",13,28.99,"S1212000092523","C1912000001514"
"P1812000006917","Fashionable Air Purifier","yes",55,40.99,"S1212000140254","C1912000001514"
"P1812000174119","Premium Blender","yes",123,24.99,"S1212000140254","C1912000001514"
"P1812000266652","Compact Blender","yes",285,25.99,"S1212000113277","C1912000001514"
"P1812000118825","Advanced Vacuum Cleaner","yes",125,22.99,"S1212000143425","C1912000001514"
"P1812000079917","Practical Vacuum Cleaner","yes",368,33.99,"S1212000113277","C1912000001514"
"P1812000475795","Reliable Washing Machine","yes",314,31.99,"S1212000106989","C1912000001514"
"P1812000269597","Eco-Friendly Washing Machine","yes",241,34.99,"S1212000106989","C1912000001514"
"P1812000069873","Trendy Vacuum Cleaner","yes",205,26.99,"S1212000143425","C1912000001514"
"P1812000402986","Stylish Air Purifier","yes",360,27.99,"S1212000006917","C1912000001514"
"P1812000335574","Robust Refrigerator","yes",170,28.99,"S1212000092523","C1912000001514"
"P1812000085854","Fashionable Refrigerator","yes",83,27.99,"S1212000140254","C1912000001514"
"P1812000314240","Robust Air Purifier","yes",349,26.99,"S1212000140254","C1912000001514"
"P1812000128961","Stylish Hand Mixer","yes",279,40.99,"S1212000092523","C1912000001514"
"P1812000073953","Dynamic Blender","yes",322,26.99,"S1212000106989","C1912000001514"
"P1812000158659","Robust Refrigerator","yes",0,25.99,"S1212000143425","C1912000001514"
"P1812000036643","Sleek Hand Mixer","yes",0,26.99,"S1212000092523","C1912000001514"
"P1812000052674","Ergonomic Air Purifier","yes",125,24.99,"S1212000092523","C1912000001514"
"P1812000374129","Affordable Refrigerator","yes",233,28.99,"S1212000092523","C1912000001514"
"P1812000026748","Comfortable Blender","yes",389,39.99,"S1212000006917","C1912000001514"
"P1812000495711","Eco-Friendly Air Purifier","yes",298,32.99,"S1212000006917","C1912000001514"
"P1812000499562","Elegant Hand Mixer","yes",127,25.99,"S1212000113277","C1912000001514"
"P1812000139490","Premium Air Purifier","yes",376,29.99,"S1212000106989","C1912000001514"
"P1812000219251","Fashionable Hand Mixer","yes",106,30.99,"S1212000029689","C1912000001514"
"P1812000460725","High-Performance Refrigerator","yes",315,30.99,"S1212000092523","C1912000001514"
"P1812000288154","High-Quality Air Purifier","yes",37,34.99,"S1212000029689","C1912000001514"
"P1812000328521","Ergonomic Hand Mixer","yes",392,32.99,"S1212000029689","C1912000001514"
"P1812000383564","High-Quality Washing Machine","no",0,27.99,"S1212000006917","C1912000001514"
"P1812000037589","Versatile Vacuum Cleaner","yes",482,35.99,"S1212000143425","C1912000001514"
